Symbol,Median_Peak_Z,Avg_Sigma_Value,Avg_Potential_Gain,Max_Potential_Gain,Event_Count,Avg_Lot_Size
AMBER,-2.8,3634.6,7106.9,10640.1,4,3634.60370105757
DELHIVERY,-2.9,3340.8,6361.4,6361.4,1,3340.7651584420382
INDUSTOWER,-2.6,3071.2,5601.5,15646.8,12,3071.217452679024
LTF,-2.9,2395.8,5026.2,11851.8,6,2395.8344817458687
NYKAA,-2.8,2340.6,4689.9,12990.1,9,2340.596173381735
MANAPPURAM,-2.7,2088.2,4163.2,16785.2,8,2088.224526910266
BOSCHLTD,-2.8,2231.0,4156.8,10693.6,9,2230.9606368570207
CHOLAFIN,-2.3,2428.5,4130.5,11405.6,11,2428.458713153669
CUMMINSIND,-3.3,1504.5,4043.8,11649.0,5,1504.513775801985
IRFC,-2.6,2233.8,4029.1,14780.2,17,2233.843036506462
RVNL,-2.8,1905.1,3867.8,9597.7,9,1905.1123185738122
PAGEIND,-2.5,1952.3,3844.3,15885.7,24,1952.328931811148
AUBANK,-2.4,2162.1,3687.4,15166.5,20,2162.0898678962976
IDEA,-2.3,2680.3,3523.3,5345.7,5,2680.266311741595
MOTHERSON,-2.2,1423.3,3507.1,26202.3,9,1423.3395601219936
MUTHOOTFIN,-2.7,1814.1,3501.5,13325.6,12,1814.1055301879603
KFINTECH,-2.4,2415.8,3407.2,8283.4,8,2415.8122245059567
KEI,-2.5,2143.5,3368.4,6139.3,8,2143.532875863536
IREDA,-2.4,2048.9,3367.1,11146.1,13,2048.857009254206
HDFCAMC,-2.3,1811.1,3355.5,24512.0,19,1811.1055602812082
ANGELONE,-2.4,1985.9,3293.8,7383.9,13,1985.8911726272609
NBCC,-2.8,1862.7,3256.6,7070.4,5,1862.7343576573708
TORNTPHARM,-2.5,2215.3,3235.7,3623.1,2,2215.2905796390423
SBICARD,-2.6,1630.3,3105.5,10562.6,26,1630.3096548458575
MARICO,-2.6,1833.6,3067.7,9378.1,6,1833.5597178114785
ADANIGREEN,-2.8,1621.7,3035.8,6205.3,5,1621.7198182879688
MFSL,-2.7,1473.4,3030.0,9500.9,7,1473.3949663238668
MCX,-2.8,1697.0,2962.9,5835.7,8,1696.9798842738553
OBEROIRLTY,-2.3,1959.1,2875.6,7045.0,16,1959.1110698747445
NATIONALUM,-2.5,1439.5,2763.9,7493.8,9,1439.504687779947
INDIANB,-2.5,1316.4,2705.6,8401.8,9,1316.4155776451564
HINDPETRO,-2.7,1171.4,2685.4,9040.7,7,1171.411303569765
BSE,-2.4,1679.9,2593.1,4534.1,10,1679.8821410139165
VOLTAS,-2.7,1175.2,2590.1,15769.6,10,1175.2037087348656
IIFL,-3.3,1064.6,2586.0,3584.0,2,1064.606794674793
IEX,-2.9,1293.3,2571.7,4694.4,8,1293.3299580716293
CDSL,-2.5,1529.4,2546.1,5363.1,12,1529.4002731103435
CAMS,-2.7,1453.2,2542.7,7361.0,11,1453.156222008732
RBLBANK,-2.4,1498.5,2514.0,7338.2,16,1498.4923877988222
ICICIPRULI,-2.5,1323.9,2441.8,6478.3,4,1323.9324599719585
JUBLFOOD,-2.7,1303.6,2428.6,6911.9,15,1303.586916687502
SHREECEM,-2.4,1476.0,2402.1,6602.2,14,1476.0381482438954
TATAELXSI,-2.4,1370.8,2317.0,4865.8,13,1370.836047842709
DIXON,-2.7,1124.2,2283.9,5033.4,7,1124.17679388034
SAMMAANCAP,-2.6,1614.4,2244.9,2530.7,3,1614.4332603926441
PNB,-2.3,1351.1,2170.4,5939.9,14,1351.0800706055
DMART,-2.7,1295.3,2150.0,6188.3,13,1295.3106162073682
KALYANKJIL,-2.4,1733.9,2136.5,3030.2,2,1733.8603445407716
ASTRAL,-2.6,1096.1,2121.4,6958.9,24,1096.125480857487
360ONE,-2.6,1139.1,2055.9,3796.5,4,1139.0939842449416
EXIDEIND,-2.3,1103.8,2053.6,12601.5,10,1103.8045204997256
ALKEM,-2.4,1102.5,1985.0,6263.6,7,1102.4869717485
DALBHARAT,-2.6,924.9,1982.5,8715.6,11,924.9186210490169
VEDL,-2.2,1159.4,1956.5,5124.7,9,1159.368017149909
ASHOKLEY,-2.7,1074.5,1951.0,6097.1,20,1074.5149562103907
SONACOMS,-2.3,1330.3,1946.4,4471.8,8,1330.2550263217624
LODHA,-2.4,1097.2,1928.3,4228.4,9,1097.1934631358822
SYNGENE,-2.4,1211.3,1895.7,4823.4,11,1211.3478302112187
LTIM,-2.5,1114.6,1887.3,6275.9,18,1114.6074813091896
KAYNES,-3.2,983.8,1885.7,3108.7,3,983.7996759205395
NMDC,-2.9,1049.9,1863.8,3148.0,11,1049.8643059219137
PETRONET,-2.8,970.2,1820.5,3807.8,6,970.2270314687261
LAURUSLABS,-2.8,1102.7,1816.1,4474.8,12,1102.6778283539456
KPITTECH,-2.8,980.2,1812.3,3146.6,7,980.2308842364428
BLUESTARCO,-2.5,1169.8,1806.5,2756.7,4,1169.7993781069272
RECLTD,-2.3,1151.3,1794.3,9636.4,21,1151.3361861762692
OFSS,-2.6,991.2,1777.9,6930.9,16,991.1959033514028
COFORGE,-2.3,1173.6,1748.8,6375.4,17,1173.6196239643143
ABCAPITAL,-2.5,932.1,1743.5,4608.1,10,932.093564934514
HEROMOTOCO,-2.6,1024.3,1728.5,3411.9,10,1024.2527504016875
OIL,-2.6,996.9,1727.4,3112.0,7,996.8551094931006
BPCL,-2.4,1005.2,1672.4,3524.7,6,1005.2333398309939
BIOCON,-2.5,947.5,1644.2,7493.1,16,947.4500915471242
AUROPHARMA,-2.3,1117.5,1595.5,7904.5,11,1117.4643256763686
BRITANNIA,-2.6,764.0,1584.3,5766.5,13,764.0164878713937
TVSMOTOR,-2.3,940.9,1580.5,4345.8,6,940.92155359875
IDFCFIRSTB,-2.6,744.9,1571.1,5631.2,14,744.9233483723527
SAIL,-2.6,903.9,1553.5,3647.6,14,903.8985299942927
LICI,-2.6,747.7,1542.1,3426.4,10,747.6501972125086
BHARTIARTL,-2.4,881.9,1526.0,4582.2,5,881.8611177826358
COLPAL,-2.6,882.3,1497.7,5302.3,24,882.2852001445991
HINDZINC,-2.5,850.2,1490.5,2682.2,4,850.1575457265853
BANKINDIA,-3.3,600.3,1481.8,2127.1,2,600.2618239591421
ICICIGI,-2.9,808.2,1469.2,2485.7,10,808.1574173277976
BHARATFORG,-2.5,870.0,1465.8,4296.0,17,870.0265886564933
ULTRACEMCO,-2.3,774.6,1424.9,8196.1,13,774.6174610184441
LICHSGFIN,-2.5,793.5,1419.6,3515.9,11,793.5099453796821
SUPREMEIND,-2.4,914.7,1408.2,2359.7,6,914.6766969753611
PIIND,-2.4,874.9,1389.9,3608.0,16,874.9404420773171
SRF,-2.4,829.2,1382.3,3632.7,9,829.2450284271004
DIVISLAB,-2.3,1011.6,1283.0,5707.1,10,1011.6060693280208
POLYCAB,-2.2,1014.6,1252.4,3906.2,16,1014.6328936535865
PFC,-2.5,725.6,1248.5,5297.0,10,725.6066733957645
GMRAIRPORT,-2.4,906.0,1238.2,6996.0,11,905.987723094449
CANBK,-2.4,789.2,1232.7,3297.3,12,789.2162526132273
HAVELLS,-2.3,767.6,1223.4,5475.1,15,767.5596560598175
ZYDUSLIFE,-2.1,1058.3,1221.5,2468.1,7,1058.2726984514607
HUDCO,-2.6,720.2,1220.2,2464.8,9,720.2285279399862
IRCTC,-2.4,685.2,1206.4,10686.4,20,685.1804013789227
DLF,-2.4,766.4,1193.6,2605.2,6,766.3630700246619
TATATECH,-2.4,756.0,1169.6,3259.9,8,756.016088738943
WIPRO,-2.3,716.6,1167.2,4151.3,33,716.5518823566834
TECHM,-2.4,692.9,1158.6,3354.6,11,692.9364383023411
DRREDDY,-2.6,682.4,1156.6,2390.7,17,682.4441102216576
EICHERMOT,-2.4,657.9,1129.1,2941.1,12,657.9388680706676
BAJAJ-AUTO,-2.5,679.5,1127.7,6062.2,22,679.5304265377584
BDL,-2.6,613.7,1121.7,2098.6,7,613.7450819133634
GRASIM,-2.4,787.3,1111.0,3076.3,13,787.3315330759552
PPLPHARMA,-2.7,569.4,1104.1,2612.0,5,569.3687663968649
GODREJCP,-2.4,842.9,1097.0,1656.2,6,842.9365238714031
BANDHANBNK,-2.6,670.1,1092.0,3746.3,14,670.1055314666834
PGEL,-2.8,546.6,1073.9,2042.2,3,546.6373601429947
MANKIND,-2.4,673.9,1072.0,1461.9,3,673.9336679240813
ETERNAL,-2.5,651.5,1061.2,2161.8,8,651.4679028294221
COALINDIA,-2.4,658.9,1053.0,3075.1,17,658.8533289426056
CONCOR,-2.4,743.0,1048.0,2925.1,12,742.9619986517395
UPL,-2.6,561.4,1040.2,3240.2,12,561.3932604121387
TRENT,-2.4,644.8,1025.1,1767.2,10,644.7985772155507
ITC,-2.7,534.4,1024.6,2853.1,11,534.4038615354513
NESTLEIND,-2.5,601.5,1017.9,2513.3,14,601.4818276171635
SIEMENS,-2.7,545.4,1012.6,2199.8,13,545.3544000938757
INDIGO,-2.4,660.0,1009.2,2001.2,9,660.0464050209
NHPC,-3.0,529.8,1006.7,1210.4,2,529.8213500013956
SBILIFE,-2.3,571.3,1006.1,2156.1,9,571.2627240665229
SHRIRAMFIN,-2.1,871.6,1005.8,1510.9,7,871.5692468657827
UNIONBANK,-2.1,891.9,998.3,1732.6,5,891.9311666083355
ABB,-2.3,685.0,990.6,2233.1,11,685.0383420309909
NAUKRI,-2.5,588.5,981.5,3099.7,12,588.4537437951052
LUPIN,-2.4,632.2,980.7,2143.8,17,632.244519587892
FEDERALBNK,-2.2,642.4,975.1,2920.2,12,642.4130006930011
GAIL,-2.4,542.9,970.4,3391.1,10,542.9477205653226
ADANIENSOL,-2.5,682.6,954.7,1183.8,4,682.573895583857
SUNPHARMA,-2.6,540.7,948.3,2920.1,14,540.7165177122663
M&M,-2.6,498.3,928.0,2715.8,7,498.2544128481865
UNOMINDA,-2.0,869.4,909.8,909.8,1,869.4379170858675
BAJAJFINSV,-3.0,456.5,905.7,1152.1,2,456.53522646646934
POLICYBZR,-2.3,644.1,894.6,1245.7,3,644.1430013841181
